評価条件一覧,,,,,,,
更新日時：2026年9月17日 00:40,,,,,,,
ー,,,,,,,
1,はじめに,,,,,,
1-1.,本文書の目的,フェーズ1 Step 2で確定した評価軸の条文（合否閾値と優劣面）の現行版を一覧する検討資料,,,,,
E7-a,CSPとの結合,合否,CSP本体への穴あけ・ねじ立て、およびCSPへの接着を要さずに把持できること,-,4a,S16-005,対応する優劣面は置かない（着脱性はE12の守備範囲）
E7-b,CSPとの結合,合否,把持部がCSPのバスレフポートおよび端子部を塞がないこと,E7-ii,4a,S16-005,
E7-c,CSPとの結合,合否,把持が、CSPが離脱しうる方向（前後・左右）のすべてに形状拘束を持つこと。いずれか一方向でも摩擦のみで拘束する方式は不可,E7-i,4a,S16-005,
E7-i,CSPとの結合,優劣,拘束の掛かり代が大きいほど優,E7-c,-,S16-005,
E7-ii,CSPとの結合,優劣,把持部のバッフル面への掛かりが小さいほど優,E7-b,-,S16-005,
E8-i,駆動と制御,優劣,駆動点が少ないほど優（同期を要しないほど優）,-,-,S16-006,優劣専用軸
E8-ii,駆動と制御,優劣,下限の停止位置の再現性が高いほど優,-,-,S16-006,優劣専用軸
E9-a,静粛性,合否,常用の昇降動作において打撃音・断続音を伴う方式は不可（ラチェット送り・爪送り・間欠駆動が該当）。故障時のみ作動する要素は対象外,-,4a,S16-007,
E9-i,静粛性,優劣,LPでの動作音が小さいほど優（数値の判定はフェーズ5へ）,-,-,S16-007,
E10-a,環境（油・摩耗粉）,合否,潤滑油を用いる場合、当該部位を油受けまたは密閉により生活空間から隔離できること。油を保持した部位が機構の収納時最下点（A00-037）より下へ移動する方式は不可,-,4a,S16-008 S27-003,
E10-i,環境（油・摩耗粉）,優劣,潤滑油を要する箇所が少ないほど優,-,-,S16-008,
E10-ii,環境（油・摩耗粉）,優劣,摩耗粉の発生と、それが下方へ落ちる量が少ないほど優,-,-,S16-008,
E11-a,調達と加工,合否,据付時に現場での切削・曲げ・厚物切断・溶接を要する方式は不可,E12-iv,4a,S16-009,E5-bとは対象が異なる（E5-bは梁を欠く加工 本条は機構側の部材を現場で成形すること）
E11-b,調達と加工,合否,方式の成立に必須な要素が、国内通販の標準品・寸法指定カット付き購入品・図面外注品のいずれかで構成できること,-,4a,S16-009,
E11-i,調達と加工,優劣,図面外注を要する加工部品が少ないほど優,-,-,S16-009,
E11-ii,調達と加工,優劣,予算（A00-022）に対する部品費の余裕が大きいほど優（金額の判定はフェーズ4へ）,-,-,S16-009 S27-003,
E12-i,施工とメンテ性,優劣,構造が単純なほど優（可動部品の点数と種類が少ないほど優）,-,-,S16-010,優劣専用軸
E12-ii,施工とメンテ性,優劣,日常メンテの頻度が低く、到達が容易なほど優,-,-,S16-010,優劣専用軸
E12-iii,施工とメンテ性,優劣,摩耗・劣化する部品が単体で交換できるほど優,-,-,S16-010,優劣専用軸
E12-iv,施工とメンテ性,優劣,据付時の現場作業が少ないほど優,E11-a,-,S16-010,優劣専用軸
E13-a,耐久,合否,落下を防ぐ荷重経路が、経年で保持力の低下する材料（接着・ゴム・樹脂の弾性）のみに依存する方式は不可,-,4a,S16-011,
E13-i,耐久,優劣,総往復数と稼働時間（A00-020）に対する寿命の余裕が大きいほど優（数値の判定はフェーズ3・4へ）,-,-,S16-011 S27-003,
E13-ii,耐久,優劣,定期交換を要する部品の点数が少ないほど優,-,-,S16-011,
E14-i,意匠（視認性）,優劣,使用状態でLPから見た、一般天井面（D00-003）より下に現れる機構の露出投影面積が小さいほど優,-,-,S15-006 S16-004 S27-003,優劣専用軸
E14-ii,意匠（視認性）,優劣,使用状態でLPから見て、露出部がCSPの輪郭に重なるほど優,-,-,S15-006 S16-004,優劣専用軸
E14-iii,意匠（視認性）,優劣,収納状態で、掘り込み領域内の機構が視認されうる投影面積の最大値が小さいほど優（視点は室内に限定しない）,-,-,S15-006 S16-004,優劣専用軸
E14-iv,意匠（視認性）,優劣,梁の露出面に現れる金物が、位置が手前（最大dが小さい）で見付けが小さいほど優,-,-,S15-006 S16-004,優劣専用軸
ー,,,,,,,
