まとめ履歴,,,,
作成日時：2026年9月5日 00:57,,,,
ー,,,,
S04-001,記載ルールの置き場所の決定と、発火条項の新設,まとめルール 確定事項ファイル 記載ルール 発火条項 生存量,-,-
S04-002,まとめルール改訂12件の突合と、適用先の振り替え,まとめルール 改訂一覧 突合 振り替え 波及検査,-,-
S04-003,まとめルールの重複条項の解消と各記載ルール節の整備,まとめルール 重複解消 記載ルール節 確定事項ファイル 未確定事項ファイル まとめ履歴,-,-
S04-004,まとめルール4-6の重複記載禁止条項の再設計,まとめルール 成果物 評価 観点 重複記載,-,-
S04-005,滞留量の実測とセッション継続の判断,滞留量 生存量 文脈脱落 ターン別一覧 bash_log,-,-
S05-001,出力ルールの改訂（実現不能条文の修正とcsvのBOM対応）,出力ルール BOM 文字コード 実現不能条文 承認タイミング,-,-
S05-002,確定事項・未確定事項ファイルへのキー語彙表とキー列の追加,キー語彙表 キー列 検索性 パイプ囲み 部分一致抽出,-,-
S05-003,statusの6値化、出典IDの充填、および出典IDを書けるようにするための規程改訂,status 出典ID 与件 実測 仕様書VI-1 呼称寸法,-,-
S05-004,引き継ぎファイルの軽量化と、未確定事項5件の起票,引き継ぎファイル 限定列挙 ID維持 表の統合 転記の連鎖,-,-
S05-005,滞留量の実測と、未配置チェックの運用,滞留量 生存量 未配置チェック 承認省略 冒頭の軽量化,-,-
S06-001,ストレージ体系の単一原本モデルへの再定義,単一原本 配布物 未配置チェック 文書体系 まとめルール,-,-
S06-002,文書体系のID書式への aa・bbb の定義追加,ID書式 通し番号 起票セッション番号 文書体系 確定事項ファイル,-,-
S06-003,事前ルール整備の終了時期の決定,ルール整備 終了時期 装置設計 試験作図 滞留量,-,-
S07-001,承認済みを根拠に検算を省略しない旨の条文化,検算 6-6 最初に読むこと 出力ルール5-5 波及検査,-,-
S07-002,Claude行動指針への条番号付与,条番号 行動指針 参照可能性 最初に読むこと 4-3,-,-
S07-003,設置スペース3面図の作成と作図仕様の運用検証,三面図 F001 出力ルール7 座標系 部屋.xlsx カーテン,D00-026 D00-027,U07-001
S07-004,成果物・ツールの保管場所の規定,保管場所 出力ルール4-5 4-6 DB/ツール 文書体系,-,-
S07-005,作図ツールの新設と保管,室内三面図.py 定義部 写し 再生成 GH/ツール,-,-
S08-001,装置設計のフェーズ計画の策定,フェーズ 大計画 移行条件 結果評価 引き継ぎファイル,-,-
S08-002,フェーズ計画の保管先の検討と確定事項ファイルへの起票の取り下げ,確定事項ファイル キー語彙 status 起票取り下げ 語彙追加,-,-
S08-003,フェーズ0の実施と干渉限界高さの導出,干渉限界 光路 視線 スローレシオ AV機器一覧.md,-,-
S08-004,成立前提の摘出とF005への改訂,チルト 自己整合解 F005 前提条件 出力ルール7-4,-,-
S08-005,滞留量の構造分析とツール保管方式の検討,滞留量 生存量 tool_search ツールリスト bash_log.tsv,-,-
S09-001,軽量ルール改訂4件の一括実施,死参照 図番欠番 成立前提 ルール改訂ルール,-,-
S09-002,アップロード経路の不通とKB経由への切替,uploads 文脈脱落 プロジェクトファイル 最初に読むこと,-,-
S09-003,ツールリストの新設と出力ルール4-6の置換,list_folder 廃止 GH配布 文書体系,-,-
S09-004,ツールリストの様式統一,はじめに 記載ルール 未確定事項ファイル 節番号,-,-
S09-005,滞留量集計スクリプトのツール化,滞留量集計.py 無表示実行 bash_log.tsv curl,-,-
S10-001,フェーズ0の完了と確定事項の起票,干渉限界 再算出 問いが消滅 冒頭様式 部屋.xlsx,D00-028〜D00-038,U05-001〜U05-005
S10-002,室内三面図の図番可変化とCSP設置位置の作図,図番 引数 梁間 141.45 上限値 室内三面図.py,-,-
S10-003,ツールリストの整備とT002の登録,T002 備考列 ヘッダ行 参照化 ツールリスト.csv,-,-
S10-004,ルール改訂の一括実施,GH配布 波及検査 未配置チェック まとめルール 出力ルール,-,-
S10-005,滞留量台帳のターン番号是正と実測化,ターン番号 生存量 実測 bash_log.tsv アップロード不着,-,-
ー,,,,
