A00-013,対象物,チルト角,21.4度,暫定,交渉可,D00-035 と S08-004,-,浅くするとはみ出しが減りストロークと楔が減る 音の高さはほぼ不変
A00-014,音響,CSP右端と梁2左端の隙間,5.0未満,暫定,交渉可,依頼主聞き取り,-,理想は隙間なし 右寄せほど良い
A00-015,荷重,想定外力 静的,水平5kgf 上向き5kgf 下向き5kgf,暫定,要精査,依頼主聞き取り,-,作用点はCSP本体 使用時と収納時の両方
A00-016,荷重,想定外力 下向き衝撃,猫4.5kg 衝撃係数は未定,暫定,交渉可,依頼主聞き取り,A00-017,係数はたわみが決まるフェーズ3で確定する
A00-017,荷重,猫の到達可能性,使用時に到達しうる,暫定,従属,依頼主聞き取り,D00-035,ジャンプ限界160に対し使用位置171.0 余裕11.0
A00-018,荷重,摩擦のみによる保持,不可,確定,非交渉,本表内の算出,A00-013,滑り力7.54kgfに対しμ=0.7でも5.15kgf
A00-019,使用条件,使用期間,10年,暫定,交渉可,依頼主聞き取り,-,-
A00-020,使用条件,使用頻度,平均2往復/日 総7300往復 片道14600 稼働243.3時間,暫定,交渉可,依頼主聞き取り,A00-019,稼働時間は片道60秒で算出
A00-021,使用条件,動作時間,下降と収納で各60秒以内,確定,交渉可,プロジェクト概要 要件5,-,-
A00-022,調達,総予算,15万円,暫定,交渉可,依頼主聞き取り,-,機器一式を含む
A00-023,調達,自前加工の範囲,穴あけ タップ 接着,確定,要精査,依頼主聞き取り,-,切削 曲げ 厚物切断 溶接は不可 外注の可否は未調査
A00-024,調達,接着の使用条件,他に手段が無くメンテ性に影響しない箇所に限り可,確定,交渉可,依頼主聞き取り,A00-023,構造全体を接着で作ることは想定しない
A00-025,調達,購入先,日本国内の通販サイト,確定,交渉可,プロジェクト概要 要件7,-,-
A00-026,環境,油の滴下,不可,確定,非交渉,依頼主聞き取り,-,設置場所の真下が生活空間
A00-027,環境,摩耗粉の落下,程度により許容,暫定,交渉可,依頼主聞き取り,A00-026,猫がいるため線引きは要検討
A00-028,環境,梁領域内の電源,無し,確定,非交渉,D00-023,-,延長タップで取り回す
A00-029,制御,操作方式,スマートプラグのON/OFF,確定,交渉可,プロジェクト概要,-,-
A00-030,幾何,収納時のCSP姿勢,チルト21.4度を維持する,確定,選定,S13-006,A00-013,昇降の自由度を1軸に限定するため。水平へ戻す案は機構が2軸化するため不採用
A00-031,意匠,梁下面からのはみ出し,8.14,確定,従属,S13-006,A00-030,一般天井h=250からは3.64
A00-032,幾何,CSP後端上隅の上方,構造物を置けない,確定,従属,S13-006,A00-030,置く場合その厚みがはみ出しに加算されストロークが同量減る
A00-033,幾何,駆動系の設置可能空間,CSP後方 d=71.6から130.0 の58.37は配光干渉なし,確定,従属,D00-005 と D00-017,A00-034,d=130.0以降はダウンライト3灯の配光を避けること
A00-034,幾何,ダウンライト位置,x=129.65 d=130.0と175.0と220.0 直径11,確定,非交渉,D00-014からD00-017,-,梁間の中心を通る列。6灯のうち3灯が設置梁間内
A00-035,幾何,ダウンライトの配光角,未定,未定,要精査,-,A00-034,30度以下なら左右21.2 45度なら11.2。左側レール方式の成否を左右する
A00-036,幾何,灯具の設置高さ,h=270と仮定,暫定,要精査,本表内の仮定,A00-034,実物または仕様書で確認が必要
ー,,,,,,,,
